,Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date,Type,ValueType,ValueDistrict
253,1258943,"Phòng Huỳnh Văn Bánh, giờ giấc tự do, thoải mái, xem là thích",3.5,22.0,Phú Nhuận,Hồ Chí Minh,20/12/2018,Phòng trọ,2.2158964012891964,3.271339739966083
254,1264150,Cho thuê phòng trọ sạch sẽ thoáng mát - Tôn Thất Thuyết quận 4,2.5,20.0,Quận 4,Hồ Chí Minh,21/12/2018,Phòng trọ,2.2158964012891964,2.09375
255,1275601,Cho thuê phòng trọ máy lạnh có nội thất Quận Tân Phú ,3.7,30.0,Tân Phú,Hồ Chí Minh,23/12/2018,Phòng trọ,2.2158964012891964,2.0499361430395915
256,1277192,"Cho thuê phòng trọ KTX , đủ tiện nghi,Cộng Hòa và Bảy Hiền chỉ từ 900k",1.0,20.0,Tân Bình,Hồ Chí Minh,23/12/2018,KTX,1.481689296269328,3.20001724137931
257,1283030,"Cho thuê phòng trò giá bình dân đường Lê Văn Sỹ, Phường 10, quận Phú Nhuận",1.9,20.0,Phú Nhuận,Hồ Chí Minh,24/12/2018,Phòng trọ,2.2158964012891964,3.271339739966083
258,1300039,"Cho thuê phòng để ở tại 65/3/7 Trần Văn Dư, P.13, Q.Tân Bình, DT: 14m2, giá 1,7 tr/ tháng",2.0,16.0,Tân Bình,Hồ Chí Minh,20/03/2020,Phòng trọ,2.2158964012891964,3.20001724137931
259,1305807,"Phòng cao cấp full nội thất Tô Hiến Thành, Quận 10",6.5,30.0,Quận 10,Hồ Chí Minh,28/12/2018,Phòng trọ,2.2158964012891964,2.520494469746259
260,1315583,"Phòng trọ cho nữ thuê phường Phú Trung, Tân Phú, Hồ Chí Minh",1.6,20.0,Tân Phú,Hồ Chí Minh,30/12/2018,Phòng trọ,2.2158964012891964,2.0499361430395915
261,1316114,"Cho nữ thuê phòng và ở ghép đường Phan Đình Phùng, Phú Nhuận, Hồ Chí Minh",3.0,10.0,Phú Nhuận,Hồ Chí Minh,30/12/2018,Phòng ở ghép,1.0,3.271339739966083
262,1317534,"Cho nữ ở ghép đường số 79, phường Tân Quy, quận 7, Hồ Chí Minh",1.0,20.0,Quận 7,Hồ Chí Minh,31/12/2018,Phòng ở ghép,1.0,2.6204352741661956
263,1323006,Phòng trọ sang đẹp diện tích 15m2 đường Pasteur quận 3 giá tốt,3.2,15.0,Quận 3,Hồ Chí Minh,02/01/2019,Phòng trọ,2.2158964012891964,3.0926301555104803
264,1326590,"Cho thuê phòng trọ 113/4/108 đường Võ Duy Ninh, Phường 22, quận Bình Thạnh",4.5,15.0,Bình Thạnh,Hồ Chí Minh,02/01/2019,Phòng trọ,2.2158964012891964,2.488339645206299
265,1340873,Cho sinh viên thuê phòng trọ diện tích 24m2 quận 9 ưu tiên nữ,1.6,24.0,Quận 9,Hồ Chí Minh,04/01/2019,Phòng trọ,2.2158964012891964,1.7041666666666668
266,1343666,Cho thuê phòng máy lạnh quận 4 gần galaxy 9 đường Nguyễn Khoái,3.5,20.0,Quận 4,Hồ Chí Minh,05/01/2019,Phòng trọ,2.2158964012891964,2.09375
267,1348114,"Cho thuê phòng trọ mới xây đường Nguyễn Thị Thập, phường Bình Thuận, quận 7",3.0,20.0,Quận 7,Hồ Chí Minh,06/01/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
268,1348351,"Cho thuê phòng full nội thất, mới xây 100 % phường 4, quận 4, Hồ Chí Minh",4.5,20.0,Quận 4,Hồ Chí Minh,06/01/2019,Phòng trọ,2.2158964012891964,2.09375
269,1355638,"Phòng trọ khu dân cư Nam Hùng Vương, 28m2 - 2 triệu –P. An lạc - Bình Tân- HCM.",2.0,28.0,Bình Tân,Hồ Chí Minh,08/01/2019,Căn hộ,3.322310410225767,1.5922038980509747
270,1375555,Phòng trọ đẹp mới xây diện tích 35m2 có nội thất Quận Tân Phú ,3.6,35.0,Tân Phú,Hồ Chí Minh,11/01/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
271,1382661,Cho thuê Phòng đủ nội thất đường Phan Văn Hân P25 Bình Thạnh,5.5,25.0,Bình Thạnh,Hồ Chí Minh,12/01/2019,Phòng trọ,2.2158964012891964,2.488339645206299
272,1383512,"Cho thuê phòng trọ gần chợ, trường học, siêu thị khu an ninh",3.0,30.0,Quận 7,Hồ Chí Minh,12/01/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
274,1425994,"Cho thuê phòng trọ đương Bùi Đình Tuý, khu vực an ninh",3.2,20.0,Bình Thạnh,Hồ Chí Minh,28/01/2019,Phòng trọ,2.2158964012891964,2.488339645206299
275,1426019,"Phòng trọ xinh, sạch sẽ toilet riêng, giá sinh viên, đ.Nguyễn Sơn, Phú Thọ Hòa",2.0,25.0,Tân Phú,Hồ Chí Minh,29/01/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
276,1426031,"Cho thuê phòng chung cư cao cấp đường Tản Đà,quận 5 giá 6,5 triệu (gặp Tuấn) ",6.5,25.0,Quận 5,Hồ Chí Minh,29/01/2019,Căn hộ,3.322310410225767,2.4362818590704647
277,1426062,Cho thuê nhà trọ khu biệt thự tại: 474/4 Trần Hưng Đạo - Quận 5- TPHCM ,3.0,25.0,Quận 5,Hồ Chí Minh,30/01/2019,Phòng trọ,2.2158964012891964,2.4362818590704647
278,1426073,Phòng trọ cho thuê Bình Thạnh 3tr/tháng gần hàng xanh,3.0,20.0,Bình Thạnh,Hồ Chí Minh,31/01/2019,Phòng trọ,2.2158964012891964,2.488339645206299
279,1426076,"Phòng trọ Tân Bình, có máy lạnh, giờ giấc tự do giá 3,2tr/tháng",3.2,20.0,Tân Bình,Hồ Chí Minh,31/01/2019,Phòng trọ,2.2158964012891964,3.20001724137931
280,1439462,"Cho thuê phòng trọ Thủ Đức gần trường đh Luật giá 2tr, phòng rộng 20m2.",2.0,20.0,Thủ Đức,Hồ Chí Minh,21/02/2019,Phòng trọ,2.2158964012891964,1.85
281,1439472,"Share phòng cho nữ ở đầy đủ tiện nghi tai CHCC Phú Mỹ Hưng 3,5 triệu/tháng",3.5,118.0,Quận 7,Hồ Chí Minh,22/02/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
282,1439496,Phòng trọ cho thuê ngay Ngã Tư An Sương giá chỉ 1.9tr,1.9,20.0,Hóc Môn,Hồ Chí Minh,22/02/2019,Phòng trọ,2.2158964012891964,1.1954022988505748
283,1439567,"Cho thuê phòng, Quận 9,đường Trương Văn Thành",2.1,14.0,Quận 9,Hồ Chí Minh,22/02/2019,Phòng trọ,2.2158964012891964,1.7041666666666668
284,1439578,"Cho SV nữ thuê phòng trọ 534 đường Lê Quang Sung, P.9, 2,5tr/tháng",2.5,12.0,Quận 6,Hồ Chí Minh,22/02/2019,Phòng trọ,2.2158964012891964,1.6250000000000002
285,1439599,"Cho thuê phòng mới xây Lê Văn Lương quận 7, giờ giấc tự do",4.0,20.0,Quận 7,Hồ Chí Minh,22/02/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
286,1439601,Hiện tại vì phòng mi có 1 bạn nữ chuyển đi nên mi rất cần 1 bạn nữ vào ở ghép,0.8,25.0,Tân Phú,Hồ Chí Minh,22/02/2019,Phòng ở ghép,1.0,2.0499361430395915
287,1439700,"Cần tìm 1 nữa ở ghép đường Quang Trung, Phường 8, Gò Vấp",1.0,20.0,Gò Vấp,Hồ Chí Minh,23/02/2019,Phòng ở ghép,1.0,1.9714989444053483
288,1439987,"Cho thuê phòng trọ giá rẻ diện tích 10m2 ở quận 4 giá 1,6 triệu",1.6,10.0,Quận 4,Hồ Chí Minh,27/02/2019,Phòng trọ,2.2158964012891964,2.09375
289,1440147,"Chính chủ cho thuê phòng 20m2, đủ đồ, 3 triệu, Tân Thới Nhất, quận 12.",3.0,20.0,Quận 12,Hồ Chí Minh,28/02/2019,Phòng trọ,2.2158964012891964,1.4984326018808778
290,1440155,Ngôi nhà chung KTX Bình Thạnh-Nguyễn Xí (tuyển thành viên),1.6,55.0,Bình Thạnh,Hồ Chí Minh,28/02/2019,KTX,1.481689296269328,2.488339645206299
291,1440183,"Cho thuê phòng trọ, đường Thống Nhất, Phường 5, quận Gò Vấp",2.9,30.0,Gò Vấp,Hồ Chí Minh,28/02/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
292,1440235,Cho nữ sinh viên thuê phòng trọ bao điện nước diện tích 50m2,2.9,50.0,Quận 4,Hồ Chí Minh,01/03/2019,Phòng trọ,2.2158964012891964,2.09375
293,1440339,"Cho thuê lại gấp phòng trọ phường Tân Hưng Thuận, quận 12 diện tích 14m2",1.4,14.0,Quận 12,Hồ Chí Minh,01/03/2019,Phòng trọ,2.2158964012891964,1.4984326018808778
294,1440440,Cần tìm 1 nữ ở ghép đường Thành Thái Quận 10 phòng rộng 30m2,2.0,30.0,Quận 10,Hồ Chí Minh,02/03/2019,Phòng ở ghép,1.0,2.520494469746259
295,1440445,"Cho thuê phòng trọ 20m2 giá rẻ tại đường Điện Biên Phủ, P.25, Q. Bình Thạnh ",2.5,20.0,Bình Thạnh,Hồ Chí Minh,03/03/2019,Phòng trọ,2.2158964012891964,2.488339645206299
296,1440485,Cho thuê phòng trọ ở quận 4 ngay cầu Kinh Tẻ diện tích 15m2,1.5,15.0,Quận 4,Hồ Chí Minh,03/03/2019,Phòng trọ,2.2158964012891964,2.09375
297,1440598,"Cho thuê phòng trọ đường Huỳnh Tấn Phát, phường Tân Thuận Đông, Quận 7",3.0,15.0,Quận 7,Hồ Chí Minh,04/03/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
298,1440695,"Cho thuê phòng đường Sư Vạn Hạnh, quận 10, full đồ, giá chỉ từ 4,5tr",4.5,19.0,Quận 10,Hồ Chí Minh,05/03/2019,Phòng trọ,2.2158964012891964,2.520494469746259
299,1440749,"Sang nhượng KTX Bảy Hiền 11 Sơn Cang, Q.Bình Tân, giá tốt",8.0,100.0,Tân Bình,Hồ Chí Minh,05/03/2019,KTX,1.481689296269328,3.20001724137931
300,1440777,Cho thuê phòng trọ vào ở liền Nguyễn Biểu quận 5 1tr/tháng,1.0,9.0,Quận 5,Hồ Chí Minh,05/03/2019,Phòng trọ,2.2158964012891964,2.4362818590704647
301,1440906,"Phòng trọ ktx giờ giấc tự do, gần Lammark81 và các khu mua sắm giải trí",1.6,35.0,Bình Thạnh,Hồ Chí Minh,06/03/2019,KTX,1.481689296269328,2.488339645206299
302,1440922,"Cho thuê phòng trọ mới xây diện tích 20m2 giá 2,5 triệu/ tháng ",2.5,20.0,Gò Vấp,Hồ Chí Minh,06/03/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
303,1441101,"Tìm nam ở ghép 1014 đường Cách Mạng Tháng Tám, Phường 5, quận Tân Bình",1.5,12.0,Tân Bình,Hồ Chí Minh,07/03/2019,Phòng ở ghép,1.0,3.20001724137931
304,1441620,"Cho thuê phòng quận 5 không chung chủ, giao chìa khoá riêng, 431/8 Phan Văn Trị",1.5,22.0,Quận 5,Hồ Chí Minh,12/03/2019,Phòng trọ,2.2158964012891964,2.4362818590704647
305,1441771,"Cho thuê phòng trọ khu vực quận 12, yên tĩnh, gần chợ, trường học,diện tích 12m2",1.4,12.0,Quận 12,Hồ Chí Minh,12/03/2019,Phòng trọ,2.2158964012891964,1.4984326018808778
306,1441960,"Cho thuê phòng trọ giá rẻ quận 8, khu vực an ninh diện tích 60m2",2.0,60.0,Quận 8,Hồ Chí Minh,13/03/2019,Phòng trọ,2.2158964012891964,2.557029177718833
307,1441974,"Cho thuê phòng trọ 301/21 đường Bình Long, phường Bình Hưng Hòa A, quận Bình Tân",2.0,12.0,Bình Tân,Hồ Chí Minh,13/03/2019,Phòng trọ,2.2158964012891964,1.5922038980509747
308,1442304,Cho thuê phòng trong nhà nguyên căn quận Bình Thạnh giờ giấc tự do,3.2,15.0,Bình Thạnh,Hồ Chí Minh,15/03/2019,Phòng trọ,2.2158964012891964,2.488339645206299
309,1442344,"Cho thuê phòng trọ tại đường Dương Tử Giang, Phường 14, Quận 5, Hồ Chí Minh",4.0,30.0,Quận 5,Hồ Chí Minh,16/03/2019,Phòng trọ,2.2158964012891964,2.4362818590704647
310,1442380,"Chính chủ cho thuê phòng tại số 50/11 Trường Sơn , Phường 2 , Tân Bình ",4.0,20.0,Tân Bình,Hồ Chí Minh,16/03/2019,Phòng trọ,2.2158964012891964,3.20001724137931
311,1442395,"Chính chủ cho thuê nhà tại số 37/23/20 Hồ Văn Long , Bình Hưng Hòa B, Bình Tân",7.0,150.0,Bình Tân,Hồ Chí Minh,16/03/2019,Khác,4.030355856504826,1.5922038980509747
312,1442456,"Cho thuê phòng ở Nhà Bè,mặt tiền,24m2, tiện ích xung quanh đầy đủ",6.0,24.0,Nhà Bè,Hồ Chí Minh,16/03/2019,Phòng trọ,2.2158964012891964,2.0973630831643004
313,1442494,"Cho thuê phòng trọ giá rẻ 800,000/tháng quận Bình Tân, Hồ Chí Minh",0.8,15.0,Bình Tân,Hồ Chí Minh,17/03/2019,Phòng trọ,2.2158964012891964,1.5922038980509747
314,1442550,"Cho thuê chung cư Q8 giá rẻ nhà mới diện tích 49m2 giá chỉ 6,5 tr",6.5,49.0,Quận 8,Hồ Chí Minh,18/03/2019,Căn hộ,3.322310410225767,2.557029177718833
315,1442554,"Cho thuê phòng trọ ở lầu 2, phường 7, quận 10, TP HCM.",2.0,12.0,Quận 10,Hồ Chí Minh,18/03/2019,Phòng trọ,2.2158964012891964,2.520494469746259
316,1442634,"Cho thuê phòng tiện nghi cao cấp giáp ranh Q1, giá chỉ từ 4,5tr/tháng",4.5,26.0,Bình Chánh,Hồ Chí Minh,18/03/2019,Phòng trọ,2.2158964012891964,2.056426332288401
317,1442676,Phòng trọ cho thuê quận 6 gần chợ lớn. Giá thuê 2tr3/tháng,2.3,20.0,Quận 6,Hồ Chí Minh,18/03/2019,Phòng trọ,2.2158964012891964,1.6250000000000002
318,1442702,"Phòng trọ diện tích 24m2 ,3tr5 full nội thất quận Tân Bình",3.5,24.0,Tân Bình,Hồ Chí Minh,18/03/2019,Phòng trọ,2.2158964012891964,3.20001724137931
319,1443082,"Phòng cho thuê full nội thất, miễn phí giữ xe, giá 3.2 triệu- 4 triệu ",3.0,20.0,Tân Phú,Hồ Chí Minh,20/03/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
320,1443085,"Tìm nữ ở ghép đường đường Ấp Bắc, Phường 13, Tân Bình, phòng 2tr8, dt20m2",2.8,20.0,Tân Bình,Hồ Chí Minh,20/03/2019,Phòng ở ghép,1.0,3.20001724137931
321,1443194,"Cho thuê phòng trọ mới đường Nguyễn Kiệm, phường 3, Quận Gò Vấp, TP.HCM",3.0,29.0,Gò Vấp,Hồ Chí Minh,21/03/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
323,1443335,"Cho thuê nhà diện tích 34m2 Ngô Tất Tố, Bình Thạnh, HCM ( lầu 1)",3.5,34.0,Bình Thạnh,Hồ Chí Minh,22/03/2019,Khác,4.030355856504826,2.488339645206299
324,1443423,"Phòng trọ 30m2, 2,3 triệu/tháng, khu dân cư Nam Hùng Vương-Bình Tân-HCM.",2.3,30.0,Bình Tân,Hồ Chí Minh,22/03/2019,Căn hộ,3.322310410225767,1.5922038980509747
325,1443550,"Cho thuê phòng cao cấp ở trung tâm quận 1 đầy đủ tiện nghi, giá rẻ",6.0,45.0,Quận 1,Hồ Chí Minh,23/03/2019,Phòng trọ,2.2158964012891964,3.563218390804598
326,1443570,"Cho thuê phòng trọ KTX full đồ đường Cộng Hòa, Bình Tân, 900k/tháng",0.9,20.0,Tân Bình,Hồ Chí Minh,23/03/2019,KTX,1.481689296269328,3.20001724137931
327,1443656,"Cho thuê phòng đầy đủ tiện nghi Phường 13, quận Tân Bình, Hồ Chí Minh",3.6,14.0,Tân Bình,Hồ Chí Minh,24/03/2019,Phòng trọ,2.2158964012891964,3.20001724137931
328,1443662,"Tìm nữ ở ghép đường 7, phường Tân Tạo A, quận Bình Tân, Hồ Chí Minh",1.5,16.0,Bình Tân,Hồ Chí Minh,24/03/2019,Phòng ở ghép,1.0,1.5922038980509747
329,1443686,"Cho thuê phòng trọ 36m2 giá 3tr/tháng tại Thủ Đức, Hồ Chí Minh",3.0,36.0,Thủ Đức,Hồ Chí Minh,25/03/2019,Phòng trọ,2.2158964012891964,1.85
330,1443742,"Phòng trọ mới xây 24m2, có ban công tại P. Sơn Kỳ giá 2,95tr/tháng",2.95,24.0,Tân Phú,Hồ Chí Minh,25/03/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
331,1443857,"Ký túc xá cao cấp dành cho sinh viên - Hubb, 215/4 Nguyễn Xí, P13, Bình Thạnh",1.8,90.0,Bình Thạnh,Hồ Chí Minh,26/03/2019,KTX,1.481689296269328,2.488339645206299
332,1443882,"Cần tìm gấp 1 nữ ở ghép, bao điện nước giá 1tr3/tháng",1.3,30.0,Phú Nhuận,Hồ Chí Minh,26/03/2019,Phòng ở ghép,1.0,3.271339739966083
333,1444136,"Cho hộ gia đình thuê trọ hẻm 185 đường Ngô Chí Quốc, phường Bình Chiểu, Thủ Đức",5.0,100.0,Thủ Đức,Hồ Chí Minh,27/03/2019,Căn hộ,3.322310410225767,1.85
334,1444922,Cho thuê phòng trọ đẹp giá rẻ tiện nghi ở KDC Nam Long q7,2.6,20.0,Quận 7,Hồ Chí Minh,01/04/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
335,1445004,"Cho thuê phòng trọ đường Trần Thánh Tông, Phường 15, quận Tân Bình, Hồ Chí Minh",5.0,40.0,Tân Bình,Hồ Chí Minh,01/04/2019,Phòng trọ,2.2158964012891964,3.20001724137931
336,1445056,"Cho thuê trọ Quận 7 phí sau chợ Tân Mỹ, diện tích 20m2",2.9,20.0,Quận 7,Hồ Chí Minh,01/04/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
337,1445201,"Cho thuê phòng tại Trần Hưng Đạo, Phường Cầu Kho, Quận 1 LH: 0939243672",10.0,50.0,Quận 1,Hồ Chí Minh,02/04/2019,Phòng trọ,2.2158964012891964,3.563218390804598
338,1445258,"Cho nữ thuê phòng trọ mới hoàn thiện đường Xóm Chiếu, Q.4, 2.5tr/tháng",2.5,10.0,Quận 4,Hồ Chí Minh,02/04/2019,Phòng trọ,2.2158964012891964,2.09375
339,1445890,Cho thuê phòng diện tích 24m2 ở công viên cầu kinh,4.0,25.0,Bình Thạnh,Hồ Chí Minh,05/04/2019,Phòng trọ,2.2158964012891964,2.488339645206299
340,1445962,"Cho thuê nhà trọ đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",2.0,12.0,Quận 3,Hồ Chí Minh,06/04/2019,Phòng trọ,2.2158964012891964,3.0926301555104803
341,1446015,"Cho thuê phòng 30m2 , phò có ban công, giờ tự do không chung chủ",3.5,30.0,Tân Bình,Hồ Chí Minh,06/04/2019,Phòng trọ,2.2158964012891964,3.20001724137931
342,1446391,"Cho thuê phòng trọ 134/39 đường Nguyễn Thị Thập, phường Bình Thuận, Quận 7",3.0,20.0,Quận 7,Hồ Chí Minh,09/04/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
343,1446484,"Cho thuê nhà tại hẻm 861 Trần Xuân Soạn, phường Tân Hưng, Quận 7",6.5,90.0,Quận 7,Hồ Chí Minh,09/04/2019,Khác,4.030355856504826,2.6204352741661956
344,1446486,"Cho thuê phòng có máy lạnh, giường, nệm phường Tây Thạnh, quận Tân Phú",2.5,15.0,Tân Phú,Hồ Chí Minh,09/04/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
345,1446554,Cho thuê phòng mới xây 71/2/60 đường Nguyễn Bặc giá từ 4 triệu đến 6 triệu,4.0,14.0,Tân Bình,Hồ Chí Minh,10/04/2019,Phòng trọ,2.2158964012891964,3.20001724137931
346,1446752,"Cho thuê phòng 268 Quang Trung, Gò Vấp, full nội thất, giá rẻ",4.2,25.0,Gò Vấp,Hồ Chí Minh,11/04/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
347,1446838,"Phòng trọ cho gia đình 30m2, P. An Lạc-Bình Tân-TP.HCM- 2.3tr./tháng",2.3,30.0,Bình Tân,Hồ Chí Minh,10/10/2021,Phòng trọ,2.2158964012891964,1.5922038980509747
348,1447177,"Cho thuê phòng đường Hồ Đắc Di, phường Tây Thạnh, Tân Phú, Hồ Chí Minh",2.5,30.0,Tân Phú,Hồ Chí Minh,15/04/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
349,1447284,"Cho thuê phòng trọ hẻm 63 Quang trung phường10, Gò Vấp",1.5,16.0,Gò Vấp,Hồ Chí Minh,16/04/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
350,1449205,Phòng trọ đẹp 35m2 Quận 3 Gần khu vui chơi thỏ trắng,4.5,35.0,Quận 3,Hồ Chí Minh,28/04/2019,Phòng trọ,2.2158964012891964,3.0926301555104803
351,1449212,Cho thuê phòng trọ quận Tân Bình gần ngã tư Bảy Hiền,5.0,30.0,Tân Bình,Hồ Chí Minh,29/04/2019,Phòng trọ,2.2158964012891964,3.20001724137931
352,1449272,Phòng trọ đường Phạm Văn Đồng - Phan Văn Trị - Bình Thạnh,2.0,25.0,Bình Thạnh,Hồ Chí Minh,30/04/2019,Phòng trọ,2.2158964012891964,2.488339645206299
353,1449316,"Cho thuê phòng trọ quận 4, đường Tôn Thất Thuyết diện tích 36m2",3.5,36.0,Quận 4,Hồ Chí Minh,01/05/2019,Phòng trọ,2.2158964012891964,2.09375
355,1449665,"Cho thuê mặt bằng hoặc nhà nguyên căn MT Nguyễn Thái Học,Q.1, giá tốt",28.0,88.0,Quận 1,Hồ Chí Minh,03/05/2019,Khác,4.030355856504826,3.563218390804598
356,1449707,"Nhà cho thuê chính chủ, gần ĐH Văn Lang, chợ Bến Cát, siêu thị, trường học",3.0,18.0,Gò Vấp,Hồ Chí Minh,03/05/2019,Khác,4.030355856504826,1.9714989444053483
357,1449940,"Cho thuê phòng 519/79 Âu Cơ, giá 2,8 triệu, có điều hòa, ban công rộng",2.8,25.0,Tân Phú,Hồ Chí Minh,05/05/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
358,1449954,Cho thuê phòng trọ quân Tân Phú 12m2 đường Trần Hưng Đạo,2.0,12.0,Tân Phú,Hồ Chí Minh,05/05/2019,Phòng trọ,2.2158964012891964,2.0499361430395915
359,1450255,"Chính chủ cần cho thuê phòng tại Hẻm 95 Lê Văn Lương, Q.7, TP HCM",5.5,35.0,Quận 7,Hồ Chí Minh,07/05/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
360,1450302,Cho thuê phòng Quận 10 full nội thất đường Sư Vạn Hạnh,4.8,15.0,Quận 10,Hồ Chí Minh,07/05/2019,Phòng trọ,2.2158964012891964,2.520494469746259
361,1450314,"Cho thuê phòng khép kín, có máy lạnh, gần siêu thị Lottle Mart, Quận 7",3.0,15.0,Quận 7,Hồ Chí Minh,07/05/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
363,1451081,"Nhà cho thuê nguyên căn sát Q.1, giá 7 triệu/tháng Bình Thạnh,Thị Nghè",7.0,80.0,Bình Thạnh,Hồ Chí Minh,10/05/2019,Khác,4.030355856504826,2.488339645206299
364,1451218,"Phòng trọ Quận Tân Bình, Phường 13, gần Etown, chợ Hoàng Hoa Thám, có gác lửng, không chung chủ",2.5,25.0,Tân Bình,Hồ Chí Minh,11/05/2019,Phòng trọ,2.2158964012891964,3.20001724137931
365,1453104,"Cho thuê phòng trọ cao cấp 40 m2, phường Phước Long B, Quận 9, Tp.HCM",3.5,40.0,Quận 9,Hồ Chí Minh,22/05/2019,Phòng trọ,2.2158964012891964,1.7041666666666668
366,1453249,Phòng trọ cho thuê ở phường 10 quận Gò Vấp,3.5,35.0,Gò Vấp,Hồ Chí Minh,23/05/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
367,1453720,"Phòng trọ an ninh giá rẻ tại đường Minh Phụng quận 11 giá 1,5 triệu",1.5,12.0,Quận 11,Hồ Chí Minh,25/05/2019,Phòng trọ,2.2158964012891964,1.6710875331564987
368,1453914,"Cho thuê phòng trọ cao cấp, miễn phí Wifi + TH cáp + máy giặt",3.5,15.0,Tân Bình,Hồ Chí Minh,25/05/2019,Phòng trọ,2.2158964012891964,3.20001724137931
369,1453984,"Phòng Đẹp Mới Xây Cho Thuê, Có Gác Lửng, Tiện Nghi Đầy Đủ - Đường Huỳnh Tấn Phát, Quận 7",3.5,23.0,Quận 7,Hồ Chí Minh,27/05/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
370,1454137,Phòng trọ dịch vụ Thích Quảng Đức-Phú Nhuận diện tích 20m2,4.5,18.0,Phú Nhuận,Hồ Chí Minh,27/05/2019,Phòng trọ,2.2158964012891964,3.271339739966083
371,1454144,Phòng trọ dịch vụ Thích Quảng Đức-Phú Nhuận diện tích 18m2,4.5,18.0,Phú Nhuận,Hồ Chí Minh,27/07/2019,Phòng trọ,2.2158964012891964,3.271339739966083
372,1454273,Phòng trọ cho thuê Thích Quảng Đức-Phú Nhuận diện tích 20m2,4.5,18.0,Phú Nhuận,Hồ Chí Minh,28/05/2019,Phòng trọ,2.2158964012891964,3.271339739966083
373,1454309,"Phòng trọ Gò Vấp, sạch sẽ, BAN CÔNG, MÁY LẠNH",2.5,25.0,Gò Vấp,Hồ Chí Minh,28/05/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
374,1454332,"Cho thuê phòng trọ full nội thất, có thang máy tại quận 7,giá từ 3,5tr",3.5,19.0,Quận 7,Hồ Chí Minh,28/05/2019,Phòng trọ,2.2158964012891964,2.6204352741661956
375,1454710,"Cho thuê phòng trọ 1,2tr/tháng đường đội cung quận 11",1.2,20.0,Quận 11,Hồ Chí Minh,29/05/2019,Phòng trọ,2.2158964012891964,1.6710875331564987
376,1454896,Phòng trọ ngay trung tâm quận 1 thoáng mát sạch sẽ ,1.0,45.0,Quận 1,Hồ Chí Minh,30/05/2019,Phòng trọ,2.2158964012891964,3.563218390804598
377,1455017,Cho thuê phòng trọ 24m2 đầy đủ tiện nghi giá tốt.,2.1,30.0,Bình Tân,Hồ Chí Minh,30/05/2019,Phòng trọ,2.2158964012891964,1.5922038980509747
378,1455722,Cho thuê phòng trọ quận 5 trung tâm thành phố diện tích 5m2 ,1.0,5.0,Quận 5,Hồ Chí Minh,03/06/2019,Phòng trọ,2.2158964012891964,2.4362818590704647
379,1455775,Cho thuê phòng đẹp mới tại Lê Văn Sỹ Quận 3,4.5,30.0,Quận 3,Hồ Chí Minh,03/06/2019,Phòng trọ,2.2158964012891964,3.0926301555104803
380,1456126,"Cho thuê phòng trọ tại quận Gò Vấp, phòng sạch sẽ, thoáng mát 2tr5/tháng ",2.5,20.0,Gò Vấp,Hồ Chí Minh,04/06/2019,Phòng trọ,2.2158964012891964,1.9714989444053483
381,1456799,"Cho thuê phòng trọ thoáng mát, rộng rãi ở Củ Chi",0.9,20.0,Củ Chi,Hồ Chí Minh,07/06/2019,Phòng trọ,2.2158964012891964,1.0
382,1456901,"Nhà trọ cho thuê giá rẻ 163/12/7y Tô Hiến Thành, ở được 3-4 người, giờ tự do không chung chủ có chỗ để xe trong nhà.",3.5,25.0,Quận 10,Hồ Chí Minh,08/06/2019,Phòng trọ,2.2158964012891964,2.520494469746259
383,1456904,"Nhà trọ cho thuê 471A Cách Mạng Tháng 8, P13 giá rẻ-PHÒNG -CÓ MÁY LẠNH.",3.0,30.0,Quận 10,Hồ Chí Minh,08/07/2019,Phòng trọ,2.2158964012891964,2.520494469746259
